# Stacks v2.64;  Phylip sequential; May 16, 2024
# Seq Pos	Locus ID	Column	Population
40	774	41	Bishop:Y,Red_Knolls:Y,
41	778	44	Bishop:K,Red_Knolls:G,
42	813	66	Bishop:S,Red_Knolls:S,
43	865	89	Bishop:S,Red_Knolls:S,
44	869	96	Bishop:Y,Red_Knolls:Y,
45	889	111	Bishop:K,Red_Knolls:K,
46	895	151	Bishop:W,Red_Knolls:W,
47	902	102	Bishop:G,Red_Knolls:K,
48	904	24	Bishop:W,Red_Knolls:A,
49	922	75	Bishop:W,Red_Knolls:W,
50	958	155	Bishop:W,Red_Knolls:W,
51	964	41	Bishop:Y,Red_Knolls:Y,
52	981	66	Bishop:R,Red_Knolls:R,
53	996	121	Bishop:G,Red_Knolls:K,
54	1001	14	Bishop:R,Red_Knolls:R,
55	1007	58	Bishop:Y,Red_Knolls:Y,
56	1068	142	Bishop:Y,Red_Knolls:Y,
57	1084	322	Bishop:Y,Red_Knolls:Y,
58	1085	150	Bishop:M,Red_Knolls:M,
59	1089	30	Bishop:R,Red_Knolls:R,
60	1101	38	Bishop:G,Red_Knolls:R,
61	1104	125	Bishop:R,Red_Knolls:G,
62	1130	156	Bishop:R,Red_Knolls:R,
63	1133	116	Bishop:W,Red_Knolls:W,
64	1134	57	Bishop:W,Red_Knolls:W,
65	1135	156	Bishop:Y,Red_Knolls:Y,
66	1143	60	Bishop:Y,Red_Knolls:Y,
67	1148	144	Bishop:Y,Red_Knolls:Y,
68	1175	120	Bishop:W,Red_Knolls:W,
69	1186	22	Bishop:S,Red_Knolls:G,
70	1202	13	Bishop:R,Red_Knolls:R,
71	1260	122	Bishop:K,Red_Knolls:K,
72	1273	402	Bishop:G,Red_Knolls:K,
73	1327	41	Bishop:M,Red_Knolls:M,
74	1329	31	Bishop:S,Red_Knolls:S,
75	1348	135	Bishop:R,Red_Knolls:R,
76	1355	498	Bishop:K,Red_Knolls:K,
77	1375	154	Bishop:S,Red_Knolls:S,
78	1385	23	Bishop:Y,Red_Knolls:Y,
79	1409	114	Bishop:M,Red_Knolls:M,
80	1419	84	Bishop:S,Red_Knolls:S,
81	1420	140	Bishop:K,Red_Knolls:K,
82	1437	128	Bishop:C,Red_Knolls:M,
83	1466	12	Bishop:M,Red_Knolls:M,
84	1481	139	Bishop:Y,Red_Knolls:Y,
85	1491	24	Bishop:Y,Red_Knolls:Y,
86	1506	27	Bishop:Y,Red_Knolls:Y,
87	1519	14	Bishop:Y,Red_Knolls:T,
88	1532	66	Bishop:R,Red_Knolls:R,
89	1540	51	Bishop:R,Red_Knolls:R,
90	1558	79	Bishop:R,Red_Knolls:R,
91	1562	138	Bishop:K,Red_Knolls:K,
92	1605	89	Bishop:K,Red_Knolls:K,
93	1608	18	Bishop:R,Red_Knolls:R,
94	1653	52	Bishop:G,Red_Knolls:K,
95	1665	41	Bishop:Y,Red_Knolls:T,
96	1670	418	Bishop:K,Red_Knolls:K,
97	1675	124	Bishop:Y,Red_Knolls:Y,
98	1700	196	Bishop:K,Red_Knolls:K,
99	1723	11	Bishop:R,Red_Knolls:R,
100	1728	33	Bishop:R,Red_Knolls:R,
101	1752	70	Bishop:M,Red_Knolls:M,
102	1756	39	Bishop:W,Red_Knolls:W,
103	1762	31	Bishop:Y,Red_Knolls:Y,
104	1769	14	Bishop:R,Red_Knolls:R,
105	1779	57	Bishop:Y,Red_Knolls:Y,
106	1791	82	Bishop:M,Red_Knolls:M,
107	1793	108	Bishop:C,Red_Knolls:M,
108	1840	73	Bishop:K,Red_Knolls:K,
109	1857	148	Bishop:K,Red_Knolls:K,
110	1870	178	Bishop:K,Red_Knolls:K,
111	1871	6	Bishop:R,Red_Knolls:R,
112	1872	45	Bishop:K,Red_Knolls:K,
113	1882	10	Bishop:M,Red_Knolls:C,
114	1888	157	Bishop:M,Red_Knolls:M,
115	1901	13	Bishop:S,Red_Knolls:S,
116	1928	148	Bishop:M,Red_Knolls:M,
117	1936	124	Bishop:K,Red_Knolls:K,
118	1950	71	Bishop:R,Red_Knolls:G,
119	1959	370	Bishop:W,Red_Knolls:W,
120	1962	20	Bishop:G,Red_Knolls:R,
121	1978	127	Bishop:A,Red_Knolls:W,
122	1980	146	Bishop:R,Red_Knolls:R,
123	2018	102	Bishop:K,Red_Knolls:K,
124	2047	67	Bishop:G,Red_Knolls:S,
125	2049	53	Bishop:W,Red_Knolls:W,
126	2073	73	Bishop:K,Red_Knolls:K,
127	2080	491	Bishop:K,Red_Knolls:G,
128	2088	35	Bishop:Y,Red_Knolls:Y,
129	2094	106	Bishop:C,Red_Knolls:M,
130	2099	151	Bishop:M,Red_Knolls:M,
131	2113	40	Bishop:M,Red_Knolls:M,
132	2127	135	Bishop:W,Red_Knolls:T,
133	2170	135	Bishop:R,Red_Knolls:R,
134	2180	453	Bishop:K,Red_Knolls:K,
135	2196	51	Bishop:S,Red_Knolls:S,
136	2200	29	Bishop:S,Red_Knolls:S,
137	2219	435	Bishop:K,Red_Knolls:K,
138	2220	79	Bishop:K,Red_Knolls:K,
139	2229	23	Bishop:M,Red_Knolls:M,
140	2232	28	Bishop:R,Red_Knolls:R,
141	2243	65	Bishop:R,Red_Knolls:R,
142	2255	53	Bishop:S,Red_Knolls:S,
143	2258	444	Bishop:M,Red_Knolls:A,
144	2261	72	Bishop:Y,Red_Knolls:Y,
145	2264	137	Bishop:S,Red_Knolls:S,
146	2304	139	Bishop:S,Red_Knolls:S,
147	2306	62	Bishop:C,Red_Knolls:Y,
148	2361	12	Bishop:Y,Red_Knolls:C,
149	2381	14	Bishop:R,Red_Knolls:R,
150	2384	85	Bishop:R,Red_Knolls:R,
151	2385	66	Bishop:R,Red_Knolls:R,
152	2414	36	Bishop:C,Red_Knolls:M,
153	2417	13	Bishop:K,Red_Knolls:K,
154	2430	245	Bishop:K,Red_Knolls:K,
155	2440	48	Bishop:W,Red_Knolls:W,
156	2446	53	Bishop:W,Red_Knolls:T,
157	2450	95	Bishop:Y,Red_Knolls:Y,
158	2451	21	Bishop:Y,Red_Knolls:Y,
159	2473	92	Bishop:K,Red_Knolls:G,
160	2492	137	Bishop:S,Red_Knolls:S,
161	2494	87	Bishop:M,Red_Knolls:M,
162	2520	104	Bishop:R,Red_Knolls:R,
163	2546	370	Bishop:W,Red_Knolls:W,
164	2559	74	Bishop:S,Red_Knolls:S,
165	2562	20	Bishop:Y,Red_Knolls:Y,
166	2599	305	Bishop:K,Red_Knolls:K,
167	2606	28	Bishop:S,Red_Knolls:S,
168	2609	24	Bishop:M,Red_Knolls:M,
169	2614	54	Bishop:M,Red_Knolls:M,
170	2630	65	Bishop:Y,Red_Knolls:Y,
171	2665	110	Bishop:M,Red_Knolls:C,
172	2668	79	Bishop:K,Red_Knolls:G,
173	2672	31	Bishop:Y,Red_Knolls:C,
174	2759	126	Bishop:R,Red_Knolls:G,
175	2761	47	Bishop:Y,Red_Knolls:Y,
176	2779	154	Bishop:Y,Red_Knolls:Y,
177	2790	14	Bishop:K,Red_Knolls:K,
178	2803	38	Bishop:S,Red_Knolls:S,
179	2816	47	Bishop:C,Red_Knolls:Y,
180	2819	15	Bishop:W,Red_Knolls:W,
181	2831	108	Bishop:Y,Red_Knolls:Y,
182	2843	136	Bishop:M,Red_Knolls:M,
183	2917	177	Bishop:C,Red_Knolls:M,
184	2923	142	Bishop:C,Red_Knolls:Y,
185	2925	102	Bishop:K,Red_Knolls:K,
186	2945	398	Bishop:M,Red_Knolls:C,
187	2954	299	Bishop:T,Red_Knolls:Y,
188	2968	95	Bishop:K,Red_Knolls:K,
189	2973	145	Bishop:Y,Red_Knolls:Y,
190	2975	108	Bishop:R,Red_Knolls:R,
191	3009	204	Bishop:T,Red_Knolls:K,
192	3056	79	Bishop:C,Red_Knolls:M,
193	3065	151	Bishop:W,Red_Knolls:W,
194	3106	123	Bishop:R,Red_Knolls:A,
195	3124	100	Bishop:Y,Red_Knolls:Y,
196	3129	120	Bishop:C,Red_Knolls:Y,
197	3132	106	Bishop:W,Red_Knolls:W,
198	3137	353	Bishop:K,Red_Knolls:K,
199	3139	13	Bishop:R,Red_Knolls:R,
200	3157	79	Bishop:K,Red_Knolls:K,
201	3165	71	Bishop:W,Red_Knolls:W,
202	3171	12	Bishop:W,Red_Knolls:W,
203	3182	50	Bishop:Y,Red_Knolls:Y,
204	3202	141	Bishop:M,Red_Knolls:M,
205	3205	52	Bishop:Y,Red_Knolls:Y,
206	3212	59	Bishop:R,Red_Knolls:G,
207	3239	393	Bishop:K,Red_Knolls:K,
208	3246	15	Bishop:G,Red_Knolls:S,
209	3249	65	Bishop:W,Red_Knolls:W,
210	3254	105	Bishop:Y,Red_Knolls:Y,
211	3285	503	Bishop:K,Red_Knolls:G,
212	3290	88	Bishop:Y,Red_Knolls:Y,
213	3320	59	Bishop:W,Red_Knolls:W,
214	3322	30	Bishop:K,Red_Knolls:K,
215	3368	141	Bishop:C,Red_Knolls:Y,
216	3370	23	Bishop:W,Red_Knolls:W,
217	3371	148	Bishop:W,Red_Knolls:W,
218	3386	84	Bishop:W,Red_Knolls:W,
219	3401	147	Bishop:Y,Red_Knolls:Y,
220	3403	62	Bishop:K,Red_Knolls:K,
221	3405	78	Bishop:Y,Red_Knolls:Y,
222	3407	101	Bishop:R,Red_Knolls:G,
223	3447	68	Bishop:S,Red_Knolls:S,
224	3472	73	Bishop:Y,Red_Knolls:Y,
225	3485	397	Bishop:W,Red_Knolls:W,
226	3491	145	Bishop:Y,Red_Knolls:Y,
227	3513	438	Bishop:W,Red_Knolls:W,
228	3532	126	Bishop:S,Red_Knolls:C,
229	3534	18	Bishop:R,Red_Knolls:R,
230	3540	485	Bishop:A,Red_Knolls:W,
231	3552	442	Bishop:K,Red_Knolls:K,
232	3572	119	Bishop:R,Red_Knolls:R,
233	3577	140	Bishop:W,Red_Knolls:W,
234	3582	14	Bishop:K,Red_Knolls:K,
235	3592	152	Bishop:W,Red_Knolls:W,
236	3597	60	Bishop:S,Red_Knolls:S,
237	3598	9	Bishop:K,Red_Knolls:K,
238	3614	142	Bishop:Y,Red_Knolls:Y,
239	3618	102	Bishop:Y,Red_Knolls:Y,
240	3623	65	Bishop:Y,Red_Knolls:C,
241	3634	130	Bishop:R,Red_Knolls:R,
242	3636	14	Bishop:R,Red_Knolls:R,
243	3639	102	Bishop:W,Red_Knolls:W,
244	3643	75	Bishop:M,Red_Knolls:M,
245	3660	35	Bishop:R,Red_Knolls:R,
246	3664	113	Bishop:K,Red_Knolls:K,
247	3708	82	Bishop:R,Red_Knolls:R,
248	3739	91	Bishop:R,Red_Knolls:R,
249	3740	45	Bishop:R,Red_Knolls:R,
250	3750	105	Bishop:Y,Red_Knolls:Y,
251	3786	115	Bishop:W,Red_Knolls:W,
252	3804	184	Bishop:W,Red_Knolls:W,
253	3819	156	Bishop:R,Red_Knolls:R,
254	3825	142	Bishop:Y,Red_Knolls:Y,
255	3838	283	Bishop:M,Red_Knolls:M,
256	3848	46	Bishop:A,Red_Knolls:M,
257	3850	102	Bishop:W,Red_Knolls:W,
258	3875	316	Bishop:W,Red_Knolls:W,
259	3883	98	Bishop:G,Red_Knolls:R,
260	3887	80	Bishop:M,Red_Knolls:M,
261	3893	145	Bishop:S,Red_Knolls:S,
262	3897	110	Bishop:K,Red_Knolls:G,
263	3921	508	Bishop:W,Red_Knolls:W,
264	3948	26	Bishop:R,Red_Knolls:R,
265	3962	325	Bishop:T,Red_Knolls:K,
266	3969	37	Bishop:R,Red_Knolls:R,
267	3975	24	Bishop:S,Red_Knolls:S,
268	3984	45	Bishop:M,Red_Knolls:M,
269	4015	91	Bishop:R,Red_Knolls:R,
270	4048	60	Bishop:R,Red_Knolls:A,
271	4049	22	Bishop:W,Red_Knolls:W,
272	4058	26	Bishop:M,Red_Knolls:M,
273	4062	65	Bishop:R,Red_Knolls:G,
274	4070	156	Bishop:S,Red_Knolls:S,
275	4077	552	Bishop:W,Red_Knolls:W,
276	4078	79	Bishop:Y,Red_Knolls:Y,
277	4088	137	Bishop:S,Red_Knolls:S,
278	4089	82	Bishop:S,Red_Knolls:S,
279	4098	47	Bishop:Y,Red_Knolls:Y,
280	4106	108	Bishop:R,Red_Knolls:R,
281	4116	23	Bishop:W,Red_Knolls:W,
282	4118	355	Bishop:K,Red_Knolls:K,
283	4143	46	Bishop:R,Red_Knolls:R,
284	4156	152	Bishop:S,Red_Knolls:S,
285	4185	51	Bishop:M,Red_Knolls:M,
286	4191	47	Bishop:S,Red_Knolls:S,
287	4192	31	Bishop:S,Red_Knolls:S,
288	4233	33	Bishop:Y,Red_Knolls:T,
289	4236	120	Bishop:M,Red_Knolls:M,
290	4267	130	Bishop:K,Red_Knolls:K,
291	4272	7	Bishop:M,Red_Knolls:M,
292	4306	68	Bishop:R,Red_Knolls:R,
293	4340	83	Bishop:W,Red_Knolls:W,
294	4343	112	Bishop:R,Red_Knolls:R,
295	4377	71	Bishop:R,Red_Knolls:R,
296	4382	253	Bishop:A,Red_Knolls:W,
297	4387	58	Bishop:S,Red_Knolls:S,
298	4392	116	Bishop:M,Red_Knolls:M,
299	4397	288	Bishop:G,Red_Knolls:K,
300	4401	92	Bishop:Y,Red_Knolls:Y,
301	4425	17	Bishop:Y,Red_Knolls:Y,
302	4434	122	Bishop:C,Red_Knolls:Y,
303	4438	7	Bishop:W,Red_Knolls:W,
304	4452	156	Bishop:R,Red_Knolls:R,
305	4473	28	Bishop:Y,Red_Knolls:Y,
306	4490	156	Bishop:W,Red_Knolls:W,
307	4492	20	Bishop:R,Red_Knolls:G,
308	4497	139	Bishop:W,Red_Knolls:W,
309	4501	55	Bishop:K,Red_Knolls:K,
310	4508	49	Bishop:C,Red_Knolls:S,
311	4521	36	Bishop:C,Red_Knolls:M,
312	4527	119	Bishop:K,Red_Knolls:K,
313	4529	114	Bishop:R,Red_Knolls:R,
314	4541	12	Bishop:R,Red_Knolls:R,
315	4588	156	Bishop:K,Red_Knolls:K,
316	4601	87	Bishop:M,Red_Knolls:M,
317	4615	146	Bishop:Y,Red_Knolls:Y,
318	4616	251	Bishop:W,Red_Knolls:W,
319	4642	36	Bishop:C,Red_Knolls:Y,
320	4665	99	Bishop:K,Red_Knolls:K,
321	4676	63	Bishop:A,Red_Knolls:R,
322	4693	134	Bishop:K,Red_Knolls:K,
323	4701	110	Bishop:W,Red_Knolls:W,
324	4708	12	Bishop:M,Red_Knolls:C,
325	4750	286	Bishop:M,Red_Knolls:M,
326	4758	33	Bishop:Y,Red_Knolls:Y,
327	4778	56	Bishop:S,Red_Knolls:S,
328	4806	59	Bishop:M,Red_Knolls:M,
329	4839	15	Bishop:S,Red_Knolls:S,
330	4842	157	Bishop:W,Red_Knolls:W,
331	4856	19	Bishop:W,Red_Knolls:W,
332	4869	305	Bishop:K,Red_Knolls:K,
333	4897	10	Bishop:Y,Red_Knolls:Y,
334	4908	141	Bishop:M,Red_Knolls:M,
335	4923	56	Bishop:W,Red_Knolls:W,
336	4940	35	Bishop:M,Red_Knolls:M,
337	4941	251	Bishop:W,Red_Knolls:W,
338	4950	280	Bishop:K,Red_Knolls:K,
339	4967	149	Bishop:M,Red_Knolls:M,
340	4971	32	Bishop:K,Red_Knolls:K,
341	4998	55	Bishop:M,Red_Knolls:C,
342	5003	48	Bishop:A,Red_Knolls:R,
343	5007	62	Bishop:K,Red_Knolls:K,
344	5016	65	Bishop:M,Red_Knolls:M,
345	5035	8	Bishop:G,Red_Knolls:S,
346	5049	36	Bishop:R,Red_Knolls:R,
347	5059	59	Bishop:Y,Red_Knolls:Y,
348	5065	85	Bishop:R,Red_Knolls:R,
349	5067	33	Bishop:W,Red_Knolls:W,
350	5071	66	Bishop:K,Red_Knolls:K,
351	5105	61	Bishop:R,Red_Knolls:G,
352	5121	67	Bishop:M,Red_Knolls:A,
353	5156	11	Bishop:S,Red_Knolls:S,
354	5169	157	Bishop:Y,Red_Knolls:Y,
355	5181	68	Bishop:Y,Red_Knolls:T,
356	5185	323	Bishop:W,Red_Knolls:W,
357	5190	33	Bishop:K,Red_Knolls:K,
358	5200	82	Bishop:W,Red_Knolls:W,
359	5217	124	Bishop:M,Red_Knolls:C,
360	5232	118	Bishop:R,Red_Knolls:R,
361	5271	89	Bishop:W,Red_Knolls:W,
362	5280	144	Bishop:S,Red_Knolls:S,
363	5344	112	Bishop:R,Red_Knolls:R,
364	5359	67	Bishop:K,Red_Knolls:K,
365	5368	153	Bishop:C,Red_Knolls:M,
366	5432	127	Bishop:K,Red_Knolls:K,
367	5454	64	Bishop:W,Red_Knolls:W,
368	5480	133	Bishop:R,Red_Knolls:R,
369	5487	152	Bishop:R,Red_Knolls:R,
370	5491	10	Bishop:K,Red_Knolls:K,
371	5504	203	Bishop:T,Red_Knolls:K,
372	5506	136	Bishop:T,Red_Knolls:W,
373	5507	40	Bishop:M,Red_Knolls:M,
374	5510	141	Bishop:T,Red_Knolls:Y,
375	5530	89	Bishop:M,Red_Knolls:A,
376	5550	71	Bishop:R,Red_Knolls:G,
377	5554	143	Bishop:K,Red_Knolls:T,
378	5570	90	Bishop:M,Red_Knolls:M,
379	5607	13	Bishop:A,Red_Knolls:W,
380	5608	31	Bishop:W,Red_Knolls:W,
381	5614	99	Bishop:K,Red_Knolls:K,
382	5619	152	Bishop:W,Red_Knolls:W,
383	5628	74	Bishop:R,Red_Knolls:G,
384	5643	308	Bishop:M,Red_Knolls:M,
385	5680	31	Bishop:C,Red_Knolls:Y,
386	5684	83	Bishop:A,Red_Knolls:M,
387	5688	46	Bishop:C,Red_Knolls:Y,
388	5702	38	Bishop:C,Red_Knolls:M,
389	5703	142	Bishop:W,Red_Knolls:W,
390	5707	495	Bishop:K,Red_Knolls:K,
391	5714	34	Bishop:Y,Red_Knolls:C,
392	5752	332	Bishop:K,Red_Knolls:K,
393	5760	18	Bishop:T,Red_Knolls:Y,
394	5767	68	Bishop:G,Red_Knolls:R,
395	5768	77	Bishop:W,Red_Knolls:W,
396	5771	479	Bishop:K,Red_Knolls:K,
397	5784	131	Bishop:W,Red_Knolls:W,
398	5805	97	Bishop:A,Red_Knolls:W,
399	5812	123	Bishop:K,Red_Knolls:K,
400	5822	153	Bishop:G,Red_Knolls:R,
401	5840	67	Bishop:K,Red_Knolls:K,
402	5841	13	Bishop:R,Red_Knolls:G,
403	5843	95	Bishop:Y,Red_Knolls:C,
404	5845	142	Bishop:S,Red_Knolls:C,
405	5851	23	Bishop:Y,Red_Knolls:Y,
406	5856	480	Bishop:K,Red_Knolls:K,
407	5861	59	Bishop:G,Red_Knolls:K,
408	5902	28	Bishop:C,Red_Knolls:S,
409	5928	391	Bishop:K,Red_Knolls:K,
410	5937	99	Bishop:Y,Red_Knolls:Y,
411	5940	137	Bishop:R,Red_Knolls:R,
412	5963	66	Bishop:R,Red_Knolls:R,
413	5973	41	Bishop:R,Red_Knolls:R,
414	5975	106	Bishop:Y,Red_Knolls:Y,
415	5995	59	Bishop:Y,Red_Knolls:T,
416	6020	431	Bishop:K,Red_Knolls:K,
417	6023	99	Bishop:T,Red_Knolls:K,
418	6039	444	Bishop:K,Red_Knolls:K,
419	6064	6	Bishop:R,Red_Knolls:R,
420	6065	58	Bishop:Y,Red_Knolls:C,
421	6071	88	Bishop:W,Red_Knolls:W,
422	6093	91	Bishop:K,Red_Knolls:K,
423	6141	453	Bishop:K,Red_Knolls:K,
424	6148	51	Bishop:S,Red_Knolls:S,
425	6174	453	Bishop:K,Red_Knolls:K,
426	6208	89	Bishop:Y,Red_Knolls:Y,
427	6241	44	Bishop:R,Red_Knolls:R,
428	6251	147	Bishop:K,Red_Knolls:K,
429	6275	499	Bishop:W,Red_Knolls:W,
430	6293	34	Bishop:Y,Red_Knolls:Y,
431	6294	348	Bishop:K,Red_Knolls:K,
432	6320	38	Bishop:M,Red_Knolls:M,
433	6324	68	Bishop:K,Red_Knolls:K,
434	6332	478	Bishop:K,Red_Knolls:K,
435	6340	111	Bishop:G,Red_Knolls:K,
436	6360	7	Bishop:G,Red_Knolls:K,
437	6397	44	Bishop:Y,Red_Knolls:Y,
438	6439	123	Bishop:W,Red_Knolls:W,
439	6447	303	Bishop:R,Red_Knolls:R,
440	6478	64	Bishop:M,Red_Knolls:A,
441	6488	45	Bishop:R,Red_Knolls:R,
442	6498	308	Bishop:G,Red_Knolls:S,
443	6516	27	Bishop:M,Red_Knolls:M,
444	6541	148	Bishop:R,Red_Knolls:R,
445	6555	138	Bishop:R,Red_Knolls:R,
446	6568	68	Bishop:R,Red_Knolls:R,
447	6569	35	Bishop:K,Red_Knolls:K,
448	6579	47	Bishop:M,Red_Knolls:M,
449	6584	79	Bishop:Y,Red_Knolls:Y,
450	6589	83	Bishop:R,Red_Knolls:R,
451	6591	16	Bishop:R,Red_Knolls:R,
452	6613	38	Bishop:G,Red_Knolls:R,
453	6616	102	Bishop:W,Red_Knolls:W,
454	6626	91	Bishop:S,Red_Knolls:S,
455	6645	91	Bishop:Y,Red_Knolls:Y,
456	6679	64	Bishop:W,Red_Knolls:W,
457	6681	104	Bishop:T,Red_Knolls:W,
458	6755	79	Bishop:R,Red_Knolls:R,
459	6757	9	Bishop:R,Red_Knolls:R,
460	6765	144	Bishop:K,Red_Knolls:K,
461	6767	110	Bishop:S,Red_Knolls:S,
462	6773	360	Bishop:K,Red_Knolls:K,
463	6807	55	Bishop:W,Red_Knolls:W,
464	6857	40	Bishop:C,Red_Knolls:Y,
465	6877	35	Bishop:K,Red_Knolls:K,
466	6886	72	Bishop:R,Red_Knolls:R,
467	6905	147	Bishop:K,Red_Knolls:K,
468	6922	123	Bishop:R,Red_Knolls:R,
469	6984	149	Bishop:K,Red_Knolls:G,
470	7019	81	Bishop:W,Red_Knolls:W,
471	7024	149	Bishop:G,Red_Knolls:K,
472	7075	49	Bishop:M,Red_Knolls:M,
473	7082	135	Bishop:M,Red_Knolls:M,
474	7084	73	Bishop:Y,Red_Knolls:Y,
475	7094	388	Bishop:W,Red_Knolls:T,
476	7104	284	Bishop:M,Red_Knolls:M,
477	7142	19	Bishop:R,Red_Knolls:R,
478	7156	340	Bishop:K,Red_Knolls:K,
479	7158	73	Bishop:R,Red_Knolls:R,
480	7168	124	Bishop:G,Red_Knolls:R,
481	7205	53	Bishop:R,Red_Knolls:R,
482	7214	73	Bishop:K,Red_Knolls:G,
483	7265	63	Bishop:Y,Red_Knolls:Y,
484	7266	56	Bishop:G,Red_Knolls:R,
485	7281	35	Bishop:Y,Red_Knolls:Y,
486	7305	293	Bishop:T,Red_Knolls:K,
487	7308	80	Bishop:Y,Red_Knolls:Y,
488	7309	82	Bishop:W,Red_Knolls:A,
489	7318	133	Bishop:K,Red_Knolls:G,
490	7346	44	Bishop:R,Red_Knolls:R,
491	7351	23	Bishop:R,Red_Knolls:R,
492	7354	41	Bishop:T,Red_Knolls:W,
493	7364	18	Bishop:K,Red_Knolls:T,
494	7383	133	Bishop:T,Red_Knolls:K,
495	7385	123	Bishop:Y,Red_Knolls:C,
496	7387	110	Bishop:C,Red_Knolls:Y,
497	7389	88	Bishop:M,Red_Knolls:M,
498	7407	12	Bishop:R,Red_Knolls:R,
499	7416	12	Bishop:Y,Red_Knolls:Y,
500	7437	24	Bishop:M,Red_Knolls:M,
501	7439	107	Bishop:C,Red_Knolls:Y,
502	7453	131	Bishop:M,Red_Knolls:M,
503	7459	198	Bishop:K,Red_Knolls:K,
504	7461	137	Bishop:K,Red_Knolls:K,
505	7465	14	Bishop:M,Red_Knolls:M,
506	7468	139	Bishop:M,Red_Knolls:M,
507	7473	132	Bishop:Y,Red_Knolls:Y,
508	7492	70	Bishop:Y,Red_Knolls:Y,
509	7495	94	Bishop:K,Red_Knolls:K,
510	7501	43	Bishop:G,Red_Knolls:R,
511	7503	108	Bishop:R,Red_Knolls:R,
512	7515	153	Bishop:T,Red_Knolls:W,
513	7527	24	Bishop:W,Red_Knolls:W,
514	7542	68	Bishop:S,Red_Knolls:S,
515	7547	109	Bishop:M,Red_Knolls:M,
516	7550	539	Bishop:K,Red_Knolls:K,
517	7565	84	Bishop:Y,Red_Knolls:Y,
518	7572	78	Bishop:W,Red_Knolls:W,
519	7586	112	Bishop:W,Red_Knolls:W,
520	7593	21	Bishop:K,Red_Knolls:G,
521	7598	117	Bishop:W,Red_Knolls:W,
522	7624	106	Bishop:W,Red_Knolls:W,
523	7627	65	Bishop:M,Red_Knolls:M,
524	7637	119	Bishop:R,Red_Knolls:R,
525	7639	119	Bishop:M,Red_Knolls:M,
526	7643	104	Bishop:Y,Red_Knolls:Y,
527	7649	89	Bishop:R,Red_Knolls:R,
528	7665	369	Bishop:C,Red_Knolls:M,
529	7674	60	Bishop:G,Red_Knolls:R,
530	7713	28	Bishop:M,Red_Knolls:M,
531	7719	74	Bishop:K,Red_Knolls:K,
532	7755	78	Bishop:Y,Red_Knolls:Y,
533	7761	129	Bishop:C,Red_Knolls:M,
534	7762	116	Bishop:A,Red_Knolls:W,
535	7771	98	Bishop:S,Red_Knolls:S,
536	7810	14	Bishop:Y,Red_Knolls:Y,
537	7825	94	Bishop:R,Red_Knolls:R,
538	7834	14	Bishop:G,Red_Knolls:R,
539	7835	39	Bishop:Y,Red_Knolls:Y,
540	7846	82	Bishop:M,Red_Knolls:M,
541	7864	51	Bishop:M,Red_Knolls:M,
542	7869	83	Bishop:R,Red_Knolls:R,
543	7887	70	Bishop:R,Red_Knolls:R,
544	7931	58	Bishop:W,Red_Knolls:A,
545	7934	234	Bishop:K,Red_Knolls:T,
546	7941	16	Bishop:R,Red_Knolls:R,
547	7948	41	Bishop:R,Red_Knolls:R,
548	7957	132	Bishop:R,Red_Knolls:R,
549	7973	80	Bishop:S,Red_Knolls:S,
550	7983	113	Bishop:R,Red_Knolls:R,
